# Giga Ranger — Bench Calibration Post Temperature Burn-In
# Date: 2026-07-15
# Setup: Alpha (master) ── 40 dB atten ── 1 m RG-316 (VF=0.695) ── 40 dB atten ── Chimp (slave)
# RF: 2450 MHz  SF9  BW=1625 kHz  TX=+13 dBm
# CAL_TABLE[2][4] under test: 12849
# Cable electrical length target: 0.6950 m
# METERS_PER_COUNT: 0.1803
# BME ambient during runs: ~26.2 °C
# CalVal = (mean - 0.6950) / 0.1803
#
# Run 1 data not captured (previous session). Summary only:
# RESULT run=1  mean=0.2934 m  sigma=0.6192 m  die=44.3 C  CalVal=-2  ok=500  outlier=0  err=0
#
# ── Run 2 ────────────────────────────────────────────────────────────────────
# Run 2 — SPACE triggered
t_ms,raw_m,die_c,amb_c
747876,1.2846,44.3,26.17
748597,1.2846,44.3,26.17
749318,1.2846,44.3,26.17
750039,1.2846,43.3,26.17
750760,1.2846,43.3,26.17
751481,1.2846,43.3,26.17
752202,1.2846,43.3,26.17
752923,1.2846,43.3,26.17
753644,1.2846,43.3,26.17
754365,1.2846,43.3,26.17
755086,1.2846,43.3,26.17
755807,1.2846,43.3,26.17
756528,1.2846,43.3,26.18
757249,1.2846,43.3,26.18
757970,1.2846,43.3,26.17
758691,-0.0451,43.3,26.18
759412,0.9465,43.3,26.17
760133,0.1127,43.3,26.17
760854,1.5325,43.3,26.18
761575,0.2704,43.3,26.18
762296,1.1493,43.3,26.18
763017,1.0592,43.3,26.18
763738,1.5550,43.3,26.18
764459,1.5550,43.3,26.18
765180,0.4056,43.3,26.18
765901,1.5325,44.3,26.17
766622,0.9014,44.3,26.17
767343,0.7212,44.3,26.18
768064,0.0225,44.3,26.18
768785,-0.0676,44.3,26.18
769506,-0.0676,44.3,26.18
770227,-0.0676,44.3,26.18
770948,-0.0676,44.3,26.18
771669,-0.0676,44.3,26.17
772390,-0.0676,44.3,26.17
773111,-0.0676,44.3,26.18
773832,-0.0676,44.3,26.17
774553,-0.0676,44.3,26.18
775274,-0.0676,44.3,26.18
775995,-0.0676,44.3,26.17
776716,-0.0676,44.3,26.18
777437,-0.0676,44.3,26.18
778158,-0.0676,44.3,26.18
778879,-0.0676,44.3,26.18
779600,-0.0676,44.3,26.18
780321,-0.0676,44.3,26.18
781042,-0.0676,44.3,26.18
781763,-0.0676,44.3,26.18
782484,-0.0676,44.3,26.18
783205,-0.0676,44.3,26.18
783926,-0.0676,44.3,26.18
784647,-0.0676,44.3,26.18
785368,0.8789,44.3,26.18
786089,0.2704,44.3,26.18
786810,0.5634,44.3,26.18
787531,1.2846,44.3,26.18
788252,0.5634,44.3,26.18
788973,-0.0676,44.3,26.18
789694,0.4733,44.3,26.18
790415,0.5859,44.3,26.18
791136,0.8338,44.3,26.18
791857,1.1268,44.3,26.18
792578,0.5859,44.3,26.18
793299,0.0451,44.3,26.18
794020,0.8564,44.3,26.18
794741,0.1578,44.3,26.18
795462,1.1493,44.3,26.18
796183,1.1493,44.3,26.18
796904,1.1493,44.3,26.18
797625,1.1493,44.3,26.18
798346,1.1493,44.3,26.18
799067,1.1493,44.3,26.18
799788,1.1493,44.3,26.19
800509,1.1493,44.3,26.18
801230,1.1493,44.3,26.19
801951,1.1493,44.3,26.19
802672,1.1493,44.3,26.19
803393,1.1493,44.3,26.18
804114,1.1493,44.3,26.19
804835,1.1493,44.3,26.18
805556,1.1493,44.3,26.18
806277,1.1493,44.3,26.18
806998,1.1493,44.3,26.18
807719,1.1493,44.3,26.19
808440,1.1493,44.3,26.18
809161,1.1493,44.3,26.18
809882,1.1493,44.3,26.19
810603,1.1493,44.3,26.18
811324,1.1493,44.3,26.18
812045,0.4733,44.3,26.18
812766,0.8789,44.3,26.19
813487,-0.0901,44.3,26.19
814208,0.2479,44.3,26.19
814929,0.6986,44.3,26.19
815650,0.0225,44.3,26.19
816371,0.8338,44.3,26.19
817092,0.9691,44.3,26.19
817813,-0.2028,44.3,26.19
818534,1.8930,44.3,26.18
819255,0.5409,44.3,26.18
# [n=100] mean=0.7029 m  sigma=0.5845 m  die=44.3 C  CalVal=0
819976,0.1578,44.3,26.19
820697,0.6986,44.3,26.19
821418,0.9014,44.3,26.19
822139,0.8564,44.3,26.19
822860,0.8564,44.3,26.19
823581,0.8564,44.3,26.19
824302,0.8564,44.3,26.18
825023,0.8564,44.3,26.19
825744,0.8564,44.3,26.19
826465,0.8564,44.3,26.19
827186,0.8564,44.3,26.19
827907,0.8564,44.3,26.19
828628,0.8564,44.3,26.19
829349,0.8564,44.3,26.19
830070,0.8564,44.3,26.19
830791,0.8564,44.3,26.19
831512,0.8564,44.3,26.19
832233,0.8564,44.3,26.19
832954,0.8564,44.3,26.19
833675,0.8564,44.3,26.19
834396,0.8564,44.3,26.19
835117,0.8564,44.3,26.19
835838,0.8564,44.3,26.19
836559,0.8564,44.3,26.19
837280,0.8564,44.3,26.19
838001,0.8564,44.3,26.19
838722,0.7212,44.3,26.20
839443,0.5183,44.3,26.20
840164,1.1268,44.3,26.20
840885,1.3972,44.3,26.19
841606,1.0141,44.3,26.19
842327,-0.0451,44.3,26.20
843048,0.4056,44.3,26.20
843769,0.4733,44.3,26.19
844490,0.5634,44.3,26.19
845211,0.7437,44.3,26.19
845932,0.9691,44.3,26.20
846653,-0.0225,44.3,26.19
847374,1.4198,44.3,26.19
848095,1.3972,44.3,26.19
848816,0.7212,44.3,26.20
849537,0.7212,44.3,26.20
850258,0.7212,44.3,26.20
850979,0.7212,44.3,26.19
851700,0.7212,44.3,26.20
852421,0.7212,44.3,26.20
853142,0.7212,44.3,26.20
853863,0.7212,44.3,26.20
854584,0.7212,44.3,26.19
855305,0.7212,44.3,26.19
856026,0.7212,44.3,26.20
856747,0.7212,44.3,26.19
857468,0.7212,44.3,26.20
858189,0.7212,44.3,26.20
858910,0.7212,44.3,26.20
859631,0.7212,44.3,26.20
860352,0.7212,44.3,26.20
861073,0.7212,44.3,26.20
861794,0.7212,44.3,26.20
862515,0.7212,44.3,26.20
863236,0.7212,44.3,26.20
863957,0.7212,44.3,26.20
864678,0.7212,44.3,26.20
865399,1.1268,44.3,26.20
866120,0.5859,44.3,26.20
866841,1.3071,44.3,26.20
867562,1.0141,44.3,26.20
868283,0.4507,44.3,26.20
869004,1.3522,44.3,26.20
869725,0.1803,44.3,26.20
870446,0.0451,44.3,26.21
871167,1.2395,44.3,26.20
871888,-0.3606,44.3,26.21
872609,0.2028,44.3,26.21
873330,0.1127,44.3,26.20
874051,1.3296,44.3,26.21
874772,0.6535,44.3,26.21
875493,0.4282,44.3,26.21
876214,0.4282,44.3,26.21
876935,0.4282,44.3,26.20
877656,0.4282,44.3,26.21
878377,0.4282,44.3,26.21
879098,0.4282,44.3,26.21
879819,0.4282,44.3,26.20
880540,0.4282,44.3,26.21
881261,0.4282,44.3,26.20
881982,0.4282,44.3,26.21
882703,0.4282,44.3,26.21
883424,0.4282,44.3,26.21
884145,0.4282,44.3,26.21
884866,0.4282,44.3,26.21
885587,0.4282,44.3,26.21
886308,0.4282,44.3,26.21
887029,0.4282,44.3,26.21
887750,0.4282,44.3,26.21
888471,0.4282,44.3,26.21
889192,0.4282,44.3,26.21
889913,0.4282,44.3,26.21
890634,0.4282,44.3,26.21
891355,0.4282,44.3,26.21
# [n=200] mean=0.6905 m  sigma=0.4697 m  die=44.3 C  CalVal=-0
892076,0.5183,44.3,26.21
892797,1.3071,44.3,26.21
893518,0.6986,44.3,26.21
894239,0.3831,44.3,26.21
894960,0.1127,44.3,26.21
895681,0.4056,44.3,26.21
896402,1.0592,44.3,26.21
897123,0.6310,44.3,26.21
897844,0.6761,44.3,26.21
898565,1.1043,44.3,26.21
899286,-0.4056,44.3,26.22
900007,1.4423,44.3,26.21
900728,0.9014,44.3,26.22
901449,0.2254,44.3,26.22
902170,0.4282,44.3,26.22
902891,0.4282,44.3,26.22
903612,0.4282,44.3,26.22
904333,0.4282,44.3,26.22
905054,0.4282,44.3,26.21
905775,0.4282,44.3,26.22
906496,0.4282,45.3,26.22
907217,0.4282,44.3,26.22
907938,0.4282,44.3,26.22
908659,0.4282,44.3,26.22
909380,0.4282,44.3,26.22
910101,0.4282,44.3,26.22
910822,0.4282,44.3,26.22
911543,0.4282,44.3,26.22
912264,0.4282,44.3,26.22
912985,0.4282,44.3,26.22
913706,0.4282,44.3,26.22
914427,0.4282,44.3,26.22
915148,0.4282,44.3,26.22
915869,0.4282,44.3,26.22
916590,0.4282,44.3,26.22
917311,0.4282,44.3,26.22
918032,0.4282,44.3,26.22
918753,0.4507,45.3,26.22
919474,1.5775,44.3,26.22
920195,0.6986,44.3,26.22
920916,-0.1352,44.3,26.22
921637,0.8113,44.3,26.22
922358,0.2028,44.3,26.22
923079,0.5183,44.3,26.23
923800,1.1944,44.3,26.23
924521,-0.0901,44.3,26.23
925242,-0.2028,44.3,26.22
925963,0.4507,44.3,26.23
926684,0.9691,44.3,26.22
927405,0.3606,44.3,26.23
928126,1.1719,44.3,26.22
928847,1.3296,44.3,26.22
929568,1.3296,44.3,26.22
930289,1.3296,44.3,26.23
931010,1.3296,44.3,26.22
931731,1.3296,44.3,26.23
932452,1.3296,44.3,26.23
933173,1.3296,44.3,26.22
933894,1.3296,44.3,26.23
934615,1.3296,44.3,26.23
935336,1.3296,44.3,26.22
936057,1.3296,44.3,26.23
936778,1.3296,44.3,26.23
937499,1.3296,44.3,26.23
938220,1.3296,44.3,26.23
