pass_num,gain_set,gain_verified,mean_m,sigma_m,rssi_dbm,n_raw,n_rejected,cal,time_utc
1,13,13,-2.2086,0.6083,-48.4,500,1,13382,2026-07-20T02:04:20+00:00
1,12,12,-2.2648,0.5818,-48.8,500,1,13382,2026-07-20T02:10:36+00:00
1,11,11,-1.7189,0.5713,-49.2,500,1,13382,2026-07-20T02:16:52+00:00
1,10,10,0.5582,0.5478,-50.2,500,1,13382,2026-07-20T02:23:12+00:00
1,9,9,4.4257,0.5965,-53.4,500,1,13382,2026-07-20T02:29:28+00:00
1,8,8,0.4375,0.5611,-56.0,500,1,13382,2026-07-20T02:35:47+00:00
1,7,7,-0.2035,0.54,-59.2,500,1,13382,2026-07-20T02:42:09+00:00
1,6,6,-1.9363,0.572,-60.0,500,1,13382,2026-07-20T02:48:25+00:00
1,5,5,-2.0606,0.5437,-59.5,500,2,13382,2026-07-20T02:54:41+00:00
1,4,4,-2.6806,0.5014,-59.9,500,2,13382,2026-07-20T03:00:57+00:00
1,3,3,-2.4486,0.4876,-60.1,500,4,13382,2026-07-20T03:07:13+00:00
1,2,2,-2.878,0.4995,-60.4,500,1,13382,2026-07-20T03:13:29+00:00
1,1,1,-3.1055,0.5114,-60.5,500,1,13382,2026-07-20T03:19:45+00:00
2,1,1,-3.1267,0.5455,-60.5,500,1,13382,2026-07-20T03:25:59+00:00
2,2,2,-2.8635,0.5247,-60.4,500,2,13382,2026-07-20T03:32:15+00:00
2,3,3,-2.4339,0.526,-60.1,500,1,13382,2026-07-20T03:38:31+00:00
2,4,4,-2.6682,0.5294,-59.9,500,0,13382,2026-07-20T03:44:47+00:00
2,5,5,-2.0285,0.5947,-59.5,500,1,13382,2026-07-20T03:51:03+00:00
2,6,6,-2.0176,0.5743,-60.0,500,1,13382,2026-07-20T03:57:20+00:00
2,7,7,-0.2987,0.5464,-59.2,500,1,13382,2026-07-20T04:03:37+00:00
2,8,8,0.3623,0.5703,-56.0,500,2,13382,2026-07-20T04:09:56+00:00
2,9,9,4.3625,0.637,-53.4,500,1,13382,2026-07-20T04:16:12+00:00
2,10,10,0.5706,0.6014,-50.2,500,1,13382,2026-07-20T04:22:33+00:00
2,11,11,-1.7343,0.6021,-49.2,500,2,13382,2026-07-20T04:28:49+00:00
2,12,12,-2.1392,0.5865,-48.8,500,2,13382,2026-07-20T04:35:05+00:00
2,13,13,-2.3662,0.5941,-48.4,500,1,13382,2026-07-20T04:41:21+00:00
3,13,13,-2.3886,0.6079,-48.4,500,1,13382,2026-07-20T04:47:36+00:00
3,12,12,-2.0827,0.6316,-48.8,500,1,13382,2026-07-20T04:53:52+00:00
3,11,11,-1.6891,0.5964,-49.3,500,1,13382,2026-07-20T05:00:08+00:00
3,10,10,0.6484,0.607,-50.2,500,1,13382,2026-07-20T05:06:27+00:00
3,9,9,4.5289,0.6264,-53.4,500,0,13382,2026-07-20T05:12:43+00:00
3,8,8,0.5617,0.5901,-56.0,500,1,13382,2026-07-20T05:19:06+00:00
3,7,7,-0.1863,0.5506,-59.2,500,1,13382,2026-07-20T05:25:28+00:00
3,6,6,-1.883,0.6256,-60.0,500,1,13382,2026-07-20T05:31:44+00:00
3,5,5,-1.9455,0.5805,-59.5,500,1,13382,2026-07-20T05:38:00+00:00
3,4,4,-2.4142,0.5715,-59.9,500,1,13382,2026-07-20T05:44:16+00:00
3,3,3,-2.3484,0.5695,-60.1,500,0,13382,2026-07-20T05:50:32+00:00
3,2,2,-2.6737,0.5071,-60.4,500,1,13382,2026-07-20T05:56:47+00:00
3,1,1,-2.8374,0.5395,-60.5,500,1,13382,2026-07-20T06:03:03+00:00
