pass_num,gain_set,t_ms,raw_m,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync,kept
1,13,6394,-2.2536,38.6,29.48,-48.5,13,0.0,-35.5,1
1,13,7120,-2.3888,38.6,29.49,-48.5,13,0.0,-35.5,1
1,13,7846,-2.0508,38.6,29.48,-48.5,13,0.0,-35.5,1
1,13,8572,-1.9832,39.6,29.48,-48.0,13,0.0,-35.5,1
1,13,9298,-3.2001,39.6,29.48,-48.0,13,0.0,-35.5,1
1,13,10024,-2.5240,39.6,29.48,-48.5,13,0.0,-35.5,1
1,13,10750,-2.4564,39.6,29.48,-48.5,13,0.0,-35.5,1
1,13,11476,-2.0733,39.6,29.49,-48.5,13,0.0,-35.5,1
1,13,12202,-2.0733,39.6,29.48,-48.5,13,0.0,-35.5,1
1,13,12928,-1.9381,39.6,29.48,-48.0,13,0.0,-35.5,1
1,13,13654,-3.2001,38.6,29.49,-48.5,13,0.0,-35.5,1
1,13,14380,-2.7719,39.6,29.49,-48.0,13,0.0,-35.5,1
1,13,15106,-2.4114,39.6,29.49,-48.5,13,0.0,-35.5,1
1,13,15832,-1.4423,39.6,29.49,-48.5,13,0.0,-35.5,1
1,13,16558,-2.5916,39.6,29.49,-48.5,13,0.0,-35.5,1
1,13,17284,-1.0367,39.6,29.50,-48.5,13,0.0,-35.5,1
1,13,18010,-2.0057,39.6,29.50,-48.5,13,0.0,-35.5,1
1,13,18736,-2.2085,39.6,29.50,-48.0,13,0.0,-35.5,1
1,13,19462,-1.6677,39.6,29.50,-48.5,13,0.0,-35.5,1
1,13,20188,-1.6677,39.6,29.50,-48.5,13,0.0,-35.5,1
1,13,20914,-2.5240,39.6,29.50,-48.5,13,0.0,-35.5,1
1,13,21640,-2.5015,38.6,29.50,-48.5,13,0.0,-35.5,1
1,13,22366,-2.4114,39.6,29.50,-48.5,13,0.0,-35.5,1
1,13,23092,-2.7494,39.6,29.50,-48.5,13,0.0,-35.5,1
1,13,23818,-1.5099,39.6,29.50,-48.0,13,0.0,-35.5,1
1,13,24544,-1.4648,39.6,29.50,-48.5,13,0.0,-35.5,1
1,13,25270,-1.9832,40.6,29.50,-48.5,13,0.0,-35.5,1
1,13,25996,-2.7945,40.6,29.51,-48.5,13,0.0,-35.5,1
1,13,26722,-2.7269,40.6,29.51,-48.0,13,0.0,-35.5,1
1,13,27448,-1.7353,40.6,29.51,-48.5,13,0.0,-35.5,1
1,13,28174,-1.7353,39.6,29.50,-48.5,13,0.0,-35.5,1
1,13,28900,-1.9832,39.6,29.50,-48.5,13,0.0,-35.5,1
