time_utc,t_ms,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync
2026-07-20T01:58:07.023+00:00,31246,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:07.330+00:00,31553,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:07.637+00:00,31860,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:07.943+00:00,32167,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:08.251+00:00,32474,40.3,28.92,0.0,10,15.0,-35.5
2026-07-20T01:58:08.558+00:00,32781,40.3,28.92,0.0,10,15.0,-35.5
2026-07-20T01:58:08.865+00:00,33088,41.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:09.172+00:00,33395,41.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:09.478+00:00,33702,41.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:09.786+00:00,34009,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:10.092+00:00,34316,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:10.400+00:00,34623,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:10.707+00:00,34930,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:11.014+00:00,35237,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:11.321+00:00,35544,40.3,28.92,0.0,10,15.0,-35.5
2026-07-20T01:58:11.628+00:00,35851,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:11.934+00:00,36158,41.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:12.242+00:00,36465,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:12.549+00:00,36772,40.3,28.92,0.0,10,15.0,-35.5
2026-07-20T01:58:12.856+00:00,37079,40.3,28.92,0.0,10,15.0,-35.5
2026-07-20T01:58:13.163+00:00,37386,40.3,28.92,0.0,10,15.0,-35.5
2026-07-20T01:58:13.470+00:00,37693,40.3,28.92,0.0,10,15.0,-35.5
2026-07-20T01:58:13.777+00:00,38000,40.3,28.92,0.0,10,15.0,-35.5
2026-07-20T01:58:14.084+00:00,38307,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:14.391+00:00,38614,40.3,28.92,0.0,10,15.0,-35.5
2026-07-20T01:58:15.005+00:00,38921,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:15.005+00:00,39228,40.3,28.91,0.0,10,15.0,-35.5
2026-07-20T01:58:15.312+00:00,39535,40.3,28.92,0.0,10,15.0,-35.5
2026-07-20T01:58:15.619+00:00,39842,40.3,28.92,0.0,10,15.0,-35.5
