--- Terminal on /dev/ttyACM1 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
aw_m,die_c,amb_c
3853,0.0000,25.3,22.66
4574,0.0000,25.3,22.72
5295,0.0000,25.3,22.72
6016,0.0000,25.3,22.71
6737,0.0000,25.3,22.69
7458,0.0000,25.3,22.67
8179,0.0000,26.3,22.66
8621,-7.7073,25.3,22.64
9342,-7.7073,26.3,22.62
10063,-7.7073,26.3,22.60
10784,-7.7073,25.3,22.58
11505,-7.7073,26.3,22.56
12226,-7.7073,26.3,22.55
12947,-7.0538,26.3,22.53
13668,-7.9778,25.3,22.50
14389,-6.8960,26.3,22.49
15110,-6.8960,26.3,22.47
15831,-8.0003,26.3,22.45
16552,-7.8651,26.3,22.43
17273,-8.2933,26.3,22.41
17994,-7.3242,26.3,22.39
18715,-7.2341,26.3,22.37
19436,-8.1806,26.3,22.34
20157,-8.1581,26.3,22.32
20878,-7.8876,26.3,22.30
21599,-8.0904,26.3,22.28
22320,-7.6172,26.3,22.26
23041,-7.6397,26.3,22.24
23762,-7.6397,26.3,22.21
24483,-7.6397,26.3,22.19
25204,-7.6397,26.3,22.17
25925,-7.6397,26.3,22.15
26646,-7.6397,26.3,22.12
27367,-7.6397,26.3,22.10
28088,-7.6397,26.3,22.07
28809,-7.6397,26.3,22.04
29530,-7.6397,26.3,22.02
30251,-7.6397,26.3,21.99
30972,-7.6397,26.3,21.96
31693,-7.6397,27.3,21.93
32414,-7.6397,26.3,21.91
33135,-7.6397,26.3,21.88
33856,-7.6397,26.3,21.85
34577,-7.6397,26.3,21.83
35298,-7.6397,26.3,21.80
36019,-7.6397,26.3,21.77
36740,-7.6397,26.3,21.74
37461,-7.6397,26.3,21.70
38182,-7.6397,26.3,21.67
38903,-7.6397,26.3,21.65
39624,-6.6256,26.3,21.62
40345,-7.0538,26.3,21.59
41066,-7.7749,27.3,21.56
41787,-6.8960,27.3,21.53
42508,-7.2115,27.3,21.50
43229,-7.8425,27.3,21.46
43950,-7.0087,28.3,21.44
44671,-7.0087,27.3,21.40
45392,-7.0312,26.3,21.37
46113,-7.1890,26.3,21.33
46834,-7.3242,26.3,21.29
47555,-7.4144,26.3,21.26
48276,-7.9778,26.3,21.23
48997,-7.2115,26.3,21.20
49718,-6.9186,26.3,21.16
50439,-6.9186,26.3,21.13
51160,-6.9186,27.3,21.11
51881,-6.9186,27.3,21.07
52602,-6.9186,28.3,21.04
53323,-6.9186,27.3,21.01
54044,-6.9186,27.3,20.97
54765,-6.9186,27.3,20.94
55486,-6.9186,26.3,20.91
56207,-6.9186,27.3,20.88
56928,-6.9186,27.3,20.85
57649,-6.9186,28.3,20.82
58370,-6.9186,28.3,20.78
59091,-6.9186,27.3,20.76
59812,-6.9186,28.3,20.72
60533,-6.9186,27.3,20.69
61254,-6.9186,27.3,20.66
61975,-6.9186,27.3,20.63
62696,-6.9186,27.3,20.60
63417,-6.9186,28.3,20.57
64138,-6.9186,27.3,20.54
64859,-6.9186,27.3,20.51
65580,-6.9186,27.3,20.48
66301,-7.1439,27.3,20.45
67022,-7.9327,27.3,20.41
67743,-7.2341,26.3,20.38
68464,-7.7299,26.3,20.35
69185,-7.1890,26.3,20.32
69906,-7.7524,26.3,20.30
70627,-7.1439,27.3,20.27
71348,-7.6848,27.3,20.24
72069,-7.2791,28.3,20.21
72790,-7.1665,28.3,20.18
73511,-8.0679,28.3,20.15
74232,-6.8510,28.3,20.12
74953,-7.5947,28.3,20.08
# [n=100] mean=-6.8690 m  sigma=1.9249 m  die=28.3 C  CalVal=-42
75674,-7.3017,27.3,20.06
76395,-6.5805,26.3,20.03
77116,-6.5805,27.3,20.00
77837,-6.5805,26.3,19.96
78558,-6.5805,26.3,19.94
79279,-6.5805,26.3,19.91
80000,-6.5805,26.3,19.89
80721,-6.5805,26.3,19.86
81442,-6.5805,26.3,19.83
82163,-6.5805,27.3,19.80
82884,-6.5805,27.3,19.78
83605,-6.5805,27.3,19.74
84326,-6.5805,27.3,19.72
85047,-6.5805,27.3,19.69
85768,-6.5805,28.3,19.66
86489,-6.5805,27.3,19.64
87210,-6.5805,27.3,19.61
87931,-6.5805,27.3,19.58
88652,-6.5805,26.3,19.55
89373,-6.5805,27.3,19.53
90094,-6.5805,27.3,19.50
90815,-6.5805,27.3,19.47
91536,-6.5805,27.3,19.44
92257,-5.9495,26.3,19.41
92978,-7.2115,26.3,19.39
93699,-8.0003,26.3,19.37
94420,-7.0763,26.3,19.34
95141,-7.2566,27.3,19.32
95862,-6.9186,26.3,19.29
96583,-7.9102,26.3,19.27
97304,-7.5496,27.3,19.24
98025,-7.7749,27.3,19.21
98746,-7.0312,27.3,19.19
99467,-7.9552,27.3,19.16
100188,-7.1214,26.3,19.14
100909,-6.9636,27.3,19.12
101630,-7.5045,26.3,19.09
102351,-6.8735,27.3,19.06
103072,-9.4426,27.3,19.04
103793,-9.4426,26.3,19.02
104514,-9.4426,26.3,18.99
105235,-9.4426,27.3,18.97
105956,-9.4426,26.3,18.94
106677,-9.4426,26.3,18.92
107398,-9.4426,27.3,18.90
108119,-9.4426,27.3,18.87
108840,-9.4426,27.3,18.85
109561,-9.4426,27.3,18.83
110282,-9.4426,27.3,18.80
111003,-9.4426,26.3,18.78
111724,-9.4426,26.3,18.75
112445,-9.4426,26.3,18.73
113166,-9.4426,26.3,18.70
113887,-9.4426,26.3,18.68
114608,-9.4426,26.3,18.66
115329,-9.4426,26.3,18.63
116050,-9.4426,26.3,18.61
116771,-9.4426,26.3,18.59
117492,-9.4426,27.3,18.57
118213,-9.4426,26.3,18.55
118934,-6.1523,26.3,18.52
119655,-7.4144,26.3,18.50
120376,-8.0454,26.3,18.47
121097,-6.9186,26.3,18.45
121818,-7.6848,26.3,18.42
122539,-7.2115,26.3,18.41
123260,-8.0904,26.3,18.38
123981,-7.4594,26.3,18.36
124702,-7.8876,26.3,18.34
125423,-7.3468,26.3,18.32
126144,-7.8651,26.3,18.29
126865,-7.2115,26.3,18.28
127586,-6.8284,26.3,18.25
128307,-7.8651,27.3,18.24
129028,-7.1214,28.3,18.22
129749,-9.4426,28.3,18.20
130470,-9.4426,27.3,18.18
131191,-9.4426,28.3,18.16
131912,-9.4426,28.3,18.13
132633,-9.4426,27.3,18.11
133354,-9.4426,27.3,18.09
134075,-9.4426,27.3,18.07
134796,-9.4426,27.3,18.06
135517,-9.4426,27.3,18.04
136238,-9.4426,26.3,18.01
136959,-9.4426,27.3,17.99
137680,-9.4426,27.3,17.98
138401,-9.4426,27.3,17.95
139122,-9.4426,26.3,17.93
139843,-9.4426,27.3,17.92
140564,-9.4426,27.3,17.89
141285,-9.4426,26.3,17.88
142006,-9.4426,26.3,17.85
142727,-9.4426,26.3,17.84
143448,-9.4426,26.3,17.81
144169,-9.4426,26.3,17.79
144890,-9.4426,26.3,17.77
145611,-8.0003,26.3,17.75
146332,-7.7299,26.3,17.73
147053,-7.0989,26.3,17.71
# [n=200] mean=-7.4874 m  sigma=1.7383 m  die=26.3 C  CalVal=-45
147774,-6.8735,27.3,17.70
148495,-7.9102,27.3,17.68
149216,-6.9862,27.3,17.66
149937,-7.1665,26.3,17.64
150658,-7.3693,27.3,17.63
151379,-7.6623,27.3,17.60
152100,-8.2031,27.3,17.58
152821,-7.5045,26.3,17.57
153542,-7.0087,26.3,17.54
154263,-6.8510,26.3,17.53
154984,-7.7524,26.3,17.51
155705,-7.0087,26.3,17.49
156426,-7.0087,27.3,17.48
157147,-7.0087,26.3,17.46
157868,-7.0087,26.3,17.44
158589,-7.0087,26.3,17.42
159310,-7.0087,26.3,17.40
160031,-7.0087,26.3,17.38
160752,-7.0087,26.3,17.36
161473,-7.0087,26.3,17.34
162194,-7.0087,27.3,17.32
162915,-7.0087,27.3,17.31
163636,-7.0087,26.3,17.29
164357,-7.0087,26.3,17.27
165078,-7.0087,26.3,17.26
165799,-7.0087,26.3,17.24
166520,-7.0087,26.3,17.22
167241,-7.0087,26.3,17.21
167962,-7.0087,26.3,17.18
168683,-7.0087,25.3,17.17
169404,-7.0087,25.3,17.15
170125,-7.0087,26.3,17.13
170846,-7.0087,26.3,17.11
171567,-7.0087,26.3,17.10
172288,-7.0538,26.3,17.08
173009,-6.8284,26.3,17.06
173730,-6.6256,26.3,17.05
174451,-6.7834,27.3,17.03
175172,-7.5270,26.3,17.02
175893,-6.9186,27.3,17.01
176614,-7.0989,27.3,16.99
177335,-7.8876,27.3,16.97
178056,-6.7383,27.3,16.96
178777,-7.5496,27.3,16.94
179498,-7.8425,28.3,16.92
180219,-7.3918,26.3,16.90
180940,-6.9862,27.3,16.89
181661,-7.1665,26.3,16.88
182382,-7.1214,26.3,16.86
183103,-7.1214,26.3,16.84
183824,-7.1214,26.3,16.83
184545,-7.1214,26.3,16.81
185266,-7.1214,26.3,16.80
185987,-7.1214,26.3,16.78
186708,-7.1214,26.3,16.77
187429,-7.1214,26.3,16.75
188150,-7.1214,26.3,16.73
188871,-7.1214,26.3,16.71
189592,-7.1214,26.3,16.70
190313,-7.1214,26.3,16.69
191034,-7.1214,26.3,16.67
191755,-7.1214,26.3,16.66
192476,-7.1214,26.3,16.64
193197,-7.1214,26.3,16.62
193918,-7.1214,26.3,16.61
194639,-7.1214,27.3,16.60
195360,-7.1214,26.3,16.58
196081,-7.1214,26.3,16.57
196802,-7.1214,25.3,16.55
197523,-7.1214,25.3,16.53
198244,-7.1214,26.3,16.51
198965,-7.0087,26.3,16.50
199686,-6.6707,26.3,16.49
200407,-6.6256,25.3,16.47
201128,-6.7608,25.3,16.46
201849,-7.5947,26.3,16.45
202570,-6.9862,25.3,16.43
203291,-6.9862,25.3,16.41
204012,-6.6031,26.3,16.40
204733,-6.6707,26.3,16.39
205454,-7.6848,26.3,16.37
206175,-6.8735,26.3,16.36
206896,-7.6397,26.3,16.34
207617,-7.2566,26.3,16.33
208338,-7.0087,27.3,16.32
209059,-6.6256,27.3,16.30
209780,-6.6256,26.3,16.28
