batch,time_utc,cal,die_c,amb_c,rssi_dbm,gain_step,mean_m,sigma_m,n_raw,n_rejected
1,2026-07-19T23:47:12+00:00,13382,39.6,29.05,-63.4,10,-2.7611,0.8727,500,2
2,2026-07-19T23:53:15+00:00,13382,39.6,29.1,-64.1,10,-2.4803,0.549,500,1
3,2026-07-19T23:59:18+00:00,13382,39.6,29.18,-64.4,10,-2.4617,0.522,500,3
4,2026-07-20T00:05:21+00:00,13382,39.6,29.24,-64.5,10,-2.4249,0.5527,500,1
5,2026-07-20T00:11:24+00:00,13382,39.6,29.3,-64.6,10,-2.3829,0.5593,500,3
6,2026-07-20T00:17:27+00:00,13382,40.6,29.35,-64.5,10,-2.4119,0.5811,500,3
7,2026-07-20T00:23:30+00:00,13382,39.6,29.21,-64.1,10,-2.4465,0.5801,500,3
8,2026-07-20T00:29:33+00:00,13382,39.6,29.13,-63.9,10,-2.485,0.5655,500,3
9,2026-07-20T00:35:36+00:00,13382,39.6,29.18,-63.9,10,-2.5197,0.549,500,2
10,2026-07-20T00:41:39+00:00,13382,39.6,29.24,-64.0,10,-2.4865,0.5601,500,1
11,2026-07-20T00:47:42+00:00,13382,39.6,29.29,-64.1,10,-2.384,0.5385,500,3
12,2026-07-20T00:53:45+00:00,13382,39.6,29.33,-64.2,10,-2.4281,0.5119,500,2
13,2026-07-20T00:59:48+00:00,13382,40.6,29.36,-63.9,10,-2.4368,0.5725,500,1
14,2026-07-20T01:05:51+00:00,13382,40.6,29.38,-64.1,10,-2.4654,0.5573,500,2
15,2026-07-20T01:11:54+00:00,13382,40.6,29.4,-64.2,10,-2.475,0.5522,500,3
16,2026-07-20T01:17:57+00:00,13382,40.6,29.42,-64.3,10,-2.4999,0.5579,500,3
