batch,t_ms,raw_m,die_c,amb_c,rssi_dbm,gain_step,snr_db,kept
1,130545,-4.3044,40.6,29.04,-62.5,10,0.0,1
1,131271,-4.2368,39.6,29.04,-60.0,10,0.0,1
1,131997,-5.2734,39.6,29.04,-62.5,10,0.0,1
1,132723,-5.2284,39.6,29.04,-60.0,10,0.0,1
1,133449,-3.6508,39.6,29.04,-62.0,10,0.0,1
1,134175,-3.6508,39.6,29.04,-62.0,10,0.0,1
1,134901,-3.9213,39.6,29.05,-62.5,10,0.0,1
1,135627,-4.7100,39.6,29.04,-60.0,10,0.0,1
1,136353,-3.4706,40.6,29.04,-62.5,10,0.0,1
1,137079,-5.1157,40.6,29.04,-60.0,10,0.0,1
1,137805,-5.3410,40.6,29.04,-62.0,10,0.0,1
1,138531,-5.0481,40.6,29.04,-60.0,10,0.0,1
1,139257,-3.3579,40.6,29.04,-67.5,10,0.0,1
1,139983,-4.8453,39.6,29.04,-60.0,10,0.0,1
1,140709,-5.4988,40.6,29.04,-60.0,10,0.0,1
1,141435,-4.8453,40.6,29.05,-60.0,10,0.0,1
1,142161,-4.8453,39.6,29.04,-60.0,10,0.0,1
1,142887,-3.6959,39.6,29.05,-60.0,10,0.0,1
1,143613,-5.2058,40.6,29.04,-60.0,10,0.0,1
1,144339,-5.5439,40.6,29.04,-60.0,10,0.0,1
1,145065,-4.8678,40.6,29.04,-60.0,10,0.0,1
1,145791,-4.0565,39.6,29.05,-60.0,10,0.0,1
1,146517,-4.8903,38.6,29.05,-60.0,10,0.0,1
1,147243,-4.7100,39.6,29.04,-60.0,10,0.0,1
1,147969,-4.6199,39.6,29.05,-62.0,10,0.0,1
1,148695,-4.9354,39.6,29.04,-60.0,10,0.0,1
1,149421,-4.6875,39.6,29.04,-60.0,10,0.0,1
1,150147,-4.6875,39.6,29.04,-60.0,10,0.0,1
1,150873,-3.8086,39.6,29.04,-60.0,10,0.0,1
1,151599,-3.0424,38.6,29.04,-62.5,10,0.0,1
1,152325,-5.2734,38.6,29.04,-62.5,10,0.0,1
1,153051,-3.4029,38.6,29.04,-61.5,10,0.0,1
1,153777,-3.6283,38.6,29.04,-60.0,10,0.0,1
1,154503,-3.8537,39.6,29.04,-62.5,10,0.0,1
1,155229,-3.8086,39.6,29.04,-60.0,10,0.0,1
1,155955,-4.6199,39.6,29.04,-62.0,10,0.0,1
1,156681,-3.6734,39.6,29.04,-60.0,10,0.0,1
1,157407,-3.4480,38.6,29.04,-62.5,10,0.0,1
1,158133,-4.1917,38.6,29.04,-62.5,10,0.0,1
1,158859,-3.2903,38.6,29.04,-62.5,10,0.0,1
1,159585,-4.7551,39.6,29.04,-62.0,10,0.0,1
1,160311,-5.3185,39.6,29.04,-62.5,10,0.0,1
1,161037,-4.4171,40.6,29.04,-60.0,10,0.0,1
1,161763,-3.8311,40.6,29.04,-62.0,10,0.0,1
1,162489,-3.3128,40.6,29.04,-62.5,10,0.0,1
1,163215,-3.6058,40.6,29.04,-60.0,10,0.0,1
1,163941,-5.5213,39.6,29.05,-60.0,10,0.0,1
1,164667,-4.4847,39.6,29.04,-62.5,10,0.0,1
1,165393,-3.8987,39.6,29.04,-60.0,10,0.0,1
1,166119,-4.1016,39.6,29.04,-62.5,10,0.0,1
1,166845,-4.5072,39.6,29.04,-68.5,10,0.0,1
1,167571,-3.8537,39.6,29.04,-62.5,10,0.0,1
1,168297,-4.5523,39.6,29.05,-68.0,10,0.0,1
1,169023,-2.9297,39.6,29.05,-62.0,10,0.0,1
1,169749,-4.1241,39.6,29.05,-60.0,10,0.0,1
1,170475,-4.1466,39.6,29.04,-62.0,10,0.0,1
1,171201,-5.0255,39.6,29.04,-60.0,10,0.0,1
1,171927,-5.0255,39.6,29.04,-60.0,10,0.0,1
