date,session,cal_table_2_4,run,exchanges_ok,exchanges_failed,outliers_rejected,mean_m,sigma_m,sigma_mm,cal_value,die_temp_c,notes
2026-07-04,baseline,13430,1,-6.877,0.674,674,,,31.3,sealed RF boxes; pre-outlier-gate firmware
2026-07-04,baseline,13430,2,-6.990,0.884,884,,,31.3,sealed RF boxes; pre-outlier-gate firmware
2026-07-04,baseline,13430,3,-6.890,0.882,882,,,31.3,sealed RF boxes; pre-outlier-gate firmware
2026-07-04,baseline,13430,4,-6.947,0.650,650,,,31.3,sealed RF boxes; pre-outlier-gate firmware
2026-07-04,baseline,13430,5,-6.999,0.477,477,,,30.3,run 5 corrected: excluded -37.027 and -10.164 outliers
2026-07-04,baseline,13430,AVG,,,,-6.941,0.713,713,,,5-run average — applied iter1 correction: 13430-166=13264
2026-07-04,iter1,13264,1,499,0,1,-3.1125,0.4519,452,-21,31.3,outlier: +7.4144 (upper +2m gate)
2026-07-04,iter1,13264,2,499,0,1,-3.3078,0.4386,439,-22,31.3,outlier: +3.9438 (upper +2m gate)
2026-07-04,iter1,13264,3,498,0,2,-3.2223,0.4388,439,-22,30.3,"outliers: -36.576 / -14.694 (lower -8m gate)"
2026-07-04,iter1,13264,4,499,0,1,-3.2039,0.4482,448,-22,31.3,outlier: -26.007 (lower -8m gate)
2026-07-04,iter1,13264,5,499,0,1,-3.2977,0.4773,477,-22,31.3,outlier: -12.034 (lower -8m gate)
2026-07-04,iter1,13264,AVG,,,,-3.2288,0.4510,451,,31.1,5-run average — applied iter2 correction: 13264-175=13089
2026-07-04,iter2,13089,1,498,0,2,0.6499,0.4758,476,0,31.3,"outliers: -8.090 / -16.789 (lower gate)"
2026-07-04,iter2,13089,2,499,0,1,0.6674,0.4671,467,0,31.3,outlier: +2.4564 (upper +2m gate)
2026-07-04,iter2,13089,3,497,0,3,0.6874,0.4729,473,0,31.3,"outliers: +2.006 / -20.981 / +2.028 — 2 borderline upper gate"
2026-07-04,iter2,13089,AVG,,,,0.6682,0.4719,473,0,31.3,✓ CALIBRATION COMPLETE — CAL_TABLE[2][4]=13089 — residual -27mm
